"date";"portal";"title";"position";"link";"fontSize";"Nazwisko"
2015-03-16;http://wyborcza.pl/0,0.html?piano_d=1;Najnowszy sondaż: Komorowski bez zmian, Duda i Kukiz zyskują, Ogórek traci;2;http://wyborcza.pl/1,75478,17579184,Najnowszy_sondaz__Komorowski_bez_zmian__Duda_i_Kukiz.html;20;kukiz
2015-03-16;http://www.gazeta.pl;Paweł Kukiz chwali się, że udało mu się zebrać...;1;http://wiadomosci.gazeta.pl/wiadomosci/1,114912,17547192,Komorowski_w_trasie__bronkobusem___Duda_w_Strasburgu.html;14;kukiz
2015-03-16;http://www.gazeta.pl;Kukiz u rolników:  Co to za krzyki na Putina? Co to jest?;1;http://wiadomosci.gazeta.pl/wiadomosci/1,138764,17573061,Rolnicy_zapowiadaja_na_18_kwietnia_manifestacje_w.html;14;kukiz
2015-03-16;http://natemat.pl/;Jarubas: W „muzeum zgody” zamknalbym wszystkich kandydatów;1;http://natemat.pl/136661,adam-jarubas-w-muzeum-zgody-zamknalby-wszystkich-kandydatow;24;jarubas
2015-03-16;http://www.tvn24.pl/;Zakazany wyklad  Palikota poza murami uczelni;3;http://www.tvn24.pl/odwolany-wyklad-palikota-odbyl-sie-poza-murami-uczelni,524710,s.html;38;palikot
2015-03-16;http://wyborcza.pl/0,0.html?piano_d=1;UMCS odwołuje wykład Palikota.  Jedyny taki przypadek w Polsce;2;http://wyborcza.pl/1,75248,17575608,UMCS_odwoluje_wyklad_Palikota___Jedyny_taki_przypadek.html;20;palikot
2015-03-16;http://www.tvn24.pl/;Zakazany wyklad  Palikota poza murami uczelni;2;http://www.tvn24.pl/zakazany-wyklad-palikota-poza-murami-uczelni,524710,s.html;14;palikot
2015-03-16;http://www.wprost.pl/;Gdzie poszła kasa Palikota?;1;http://www.wprost.pl/ar/498397/Gdzie-poszla-kasa-Palikota/;17;palikot
2015-03-16;http://www.tvn24.pl/;Zakazany wyklad  Palikota poza murami uczelni;1;http://www.tvn24.pl/odwolany-wyklad-palikota-odbyl-sie-poza-murami-uczelni,524710,s.html;14;palikot
2015-03-17;http://www.tvn24.pl/;Topnieje przewaga Komorowskiego nad Duda. Kukiz przed Ogórek. Sondaz dla  Faktów  TVN;4;http://www.tvn24.pl/sondaz-prezydencki-dla-faktow-tvn,524725,s.html;46;komorowski
2015-03-17;http://www.wprost.pl/;Komorowski: Tu ginęli żołnierze radzieccy. Nałęcz: Kto to kwestionuje, jest propagandystą;4;http://www.wprost.pl/ar/498752/Komorowski-Tu-gineli-zolnierze-radzieccy-Nalecz-Kto-to-kwestionuje-jest-propagandysta/;35;komorowski
2015-03-17;http://www.wprost.pl/;Sondaż: 46 proc. dla Komorowskiego, 31 proc. dla Dudy;3;http://www.wprost.pl/ar/498568/Sondaz-prezydencki-46-proc-dla-Komorowskiego-31-proc-dla-Dudy/;28;komorowski
