"lastname";"mean_retweet";"sum_retweet";"mean_like";"sum_like";"how_many_tweets";"date"
AndrzejDuda;32.5;65;74.5;149;2;2015-05-07
JarubasAdam;1.66666666666667;10;3.5;21;6;2015-05-07
JkmMikke;12;12;34;34;1;2015-05-07
Komorowski;6.45454545454545;71;11.7272727272727;129;11;2015-05-07
M_Kowalski1;13.6666666666667;82;39.3333333333333;236;6;2015-05-07
ogorekmagda;13.6666666666667;41;24.3333333333333;73;3;2015-05-07
Palikot_Janusz;3.05;61;7.85;157;20;2015-05-07
PrezydentKukiz;17.375;139;41.875;335;8;2015-05-07
WandaNowicka;1.2;6;2.8;14;5;2015-05-07
AndrzejDuda;9;72;22.625;181;8;2015-05-08
JarubasAdam;3;15;4;20;5;2015-05-08
JkmMikke;19;19;62;62;1;2015-05-08
Komorowski;4.38202247191011;390;5.80898876404494;517;89;2015-05-08
M_Kowalski1;7.33333333333333;44;13.6666666666667;82;6;2015-05-08
ogorekmagda;15;15;41;41;1;2015-05-08
Palikot_Janusz;3.44444444444444;62;11.4444444444444;206;18;2015-05-08
PrezydentKukiz;22.8947368421053;435;49;931;19;2015-05-08
JkmMikke;9;9;40;40;1;2015-05-10
